(Make sure you keep it in a safe place.),(Asigurati-va ca il tineti intr-un loc sigur.),
(Optional. Leave blank for no prefix),(Optional. Lasa-ti gol daca nu introduceti un prefix),
(ver. %s),(ver. %s),
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Cale Suplimentara adaugata dupa URL-ul de baza pentru accesarea Panoului Administrativ (e.g. admin, backend, control etc.).",
Admin Path,Cale Admin,
After successfull installation please click the button below.,"Dupa Instalarea cu succes, va rugam, Faceti click pe butonul de mai jos.",
"All packages were installed, click 'OK' to continue with installation.","Toate pachetele au fost instalate, click 'OK' pentru a continua cu instalarea.",
Alternatively you could try the 'Manual Downloads and Upgrades' method.,"Alternativ, puteti incerca metoda 'Descarcari Manuale si Upgrade-uri'.",
Base URL,URL de baza,
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Inainte de a merge la magazinul dumneavoastra, va rugam, faceti o nota cu codul de criptare (Magento il foloseste pentru criptarea parolelor, Cardurilor de Credit, s.a.).",
Check out our,Verificati,
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Bifati aceasta casuta daca nu este posibil sa validati automat URL-ul de securitate, de exemplu, daca autentificarea HTTP este necesara.",
Check this box only if it is not possible to automatically validate the Base URL.,Bifati aceasta casuta daca nu este posibil sa validati automat URL-ul de baza.,
Choose this if you would like to test frontend and backend functionality.,Alegeti aceasta daca doriti sa testati functionalitatea frontend si backend.,
Configuration,Configurare,
Confirm Password,Confirmare parola,
Connection,Conexiune,
Continue,Continua,
Continue After Manual Download,Continua dupa Descarcarea Manuala,
Continue Full Download / SVN Installation,Continua Descarcarea Completa / Instalare SVN ,
Create Admin Account,Creaza Cont Admin,
Currently this is the most stable state available for Magento packages.,"Momentan, aceasta este cea mai stabila stare disponibila pentru pachetele Magento.",
Database,Baza de Date,
Database Connection,Conexiune Baza de Date,
Database Name,Nume Baza de Date,
Database Name cannot be empty.,Numele Bazei de Date nu poate fi gol.,
Database Type,Tip Baza de Date,
Database connection error.,Eroare Conexiune Baza de Date.,
Database host,Server Baza de Date,
Database server does not support the InnoDB storage engine.,Server-ul Bazei de Date nu suporta motorul de depozitare InnoDB.,
Database user name,Nume Utilizator Baza de Date,
Database user password,Parola Utilizator Baza de Date,
Default Currency,Valuta Standard,
Download,Descarca,
Download Magento Core Modules and Updates,Descarca Modulele Core si Actualizarile Magento,
"Downloading and installing Magento, please wait...","Se descarca si se instaleaza Magento, va rugam, asteptati...",
Email,E-mail,
Email Address,Adresa E-mail,
Enable Charts,Actualizeaza Grafice,
Enable this option if you want the charts to be displayed on Dashboard.,Actualizati aceasta optiune daca doriti ca graficele sa fie afisate in Panoul de Control.,
Enable this option only if you have SSL available.,Activati aceasta optiune numai daca aveti disponibil SSL.,
Encryption Key,Cod Criptare,
File System,Sistem de fisiere,
First Name,Prenume,
Full Download / SVN Installation,Descarcare Completa/  Instalare SVN ,
Get ready to experience Open-Source eCommerce Evolved.,Pregateste-te sa experimentezi Open-Source eCommerce evoluat.,
Go to Backend,Mergi la Backend,
Go to Frontend,Mergi la Frontend,
Having trouble installing Magento?,Aveti probleme la instalarea Magento?,
Help Us to Keep Magento Healthy,Ajuta-ne sa mentinem Magento sanatos,
Host,Server,
I agree to the above terms and conditions.,Sunt de acord cu Termenii si Conditiile.,
"If you are a developer and would like to have the latest public updates, choose this option.","Daca sunteti un dezvoltator si doriti sa aveti ultimele actualizari publice, alegeti aceasta optiune.",
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","Daca rulati un PHP ca CGI, procesul dumneavoastra PHP poate rula sub acelasi utilizator ca acela pe care l-ati folosit la incarcarea fisierelor Magento.",
"If you are running the install wizard over a previously downloaded and installed Magento installation, proceed with this method.","Daca rulati ghidul de instalare la o instalare Magento descarcata si instalata anterior, continuati cu aceasta metoda.",
