%s %s cycle.,%s %s ciclu.
Please Select--,"Va rugam, selectati--"
3D Secure Card Validation,Validare card 3D Secure
3D Secure Credit Card Validation,Validare card de credit v
<label>Make Check payable to:</label> %s,<label>Emite cecul pentru beneficiarul:</label> %s
A value is required for live mode. Refer to your CardinalCommerce agreement.,O valoare este necesara pentru modul live. Consultati-va cu acordul CardinalComerce.
Allow Initial Fee Failure,Permite esec taxa initiala
An internal reference ID is required to save the payment profile.,Un ID de referinta intern este necesar pentru salvarea profilului platii.
Authorize action is not available.,Autorizarea actiunii nu este disponibila.
Auto Bill on Next Cycle,Factureaza automat la ciclul urmator
Automatically Invoice All Items,Factureaza automat toate articolele
Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).,Factureaza automat soldul neachitat in urmatorul ciclu de facturare ( daca exista playi esuate).
Bank Transfer Payment,Plata prin transfer bancar
Billing Agreement status is not set.,Starea acordului de facturare nu este setata.
Billing Amount,Suma de facturare
Billing Frequency,Frecventa facturarii
Billing Period,Perioada facturarii
Billing Period Unit,Unitatea perioada de facturare
Billing period unit is not defined or wrong.,Unitatea perioadei de facturare nu este definita sau este incorecta.
Cannot retrieve the payment info model object.,Obiectul model de informatii asupra platii nu poate fi recuperat.
Cannot retrieve the payment information object instance.,Instanta obiectului de informatii asupra platii nu poate fi recuperata.
Cannot retrieve the payment method code.,Codul metodei de plata nu poate fi gasit.
Cannot retrieve the payment method model object.,Obiectul model al metodei de plata nu poate fi gasit.
Capture action is not available.,Actiunea de preluare nu este disponibila.
Card Verification Number,Numarul de verificare a cardului
Cash On Delivery Payment,Plata Cash la livrare
Centinel API URL,URL API Centinel
Check / Money Order,Comanda prin cec /bani
Credit Card Number,Numarul cardului de credit
Credit Card Type,Tip card de credit
Credit Card Types,Tipuri card de credit
Credit card number mismatch with credit card type.,Numarul cardului de credit nu coincide cu tipul cardului de credit.
Credit card type is not allowed for this payment method.,Tipul cardului de credit nu este acceptat pentru aceasta metoda de plata.
Currency,Valuta
Currency code is undefined.,Codul valutei nu este definit.
Customer ID is not set.,ID-ul clientului nu este setat.
Day,Zi
Debug Mode,Mod Depanare
Enabled,Activat
Expiration Date,Data expirarii
Full name of the person receiving the product or service paid for by the recurring payment.,Numele intreg al persoanei care primeste produsul sau serviciul pentru care s-a platit prin plata periodica.
Incorrect credit card expiration date.,Data de expirare a cardului de credit incorecta.
Initial Fee,Taxa initiala
Initial non-recurring payment amount due immediately upon profile creation.,Datorie suma de plata non periodica initiala imediat dupa crearea profilului.
Instructions,Instructiuni
Internal Reference ID,ID de referinta intern
Invalid Credit Card Number,Numar card de credit nevalid
Issue Number,Numar de emitere
Make Check Payable to,Emite cecul pentru beneficiarul
Make Check payable to:,Emite cecul pentru beneficiarul:
Make Check payable to: %s,Emite cecul pentru beneficiarul: %s
Maximum Billing Cycles,Cicluri maxime de facturare
Maximum Order Total,Total maxim comanda
Maximum Payment Failures,Numar maxim esecuri de plata
Maximum Trial Billing Cycles,Cicluri de facturare maxime a perioadei de proba
Merchant ID,ID Comerciant
Minimum Order Total,Total minim comanda
Month,Luna
N/A,N/A
Name on Card,Numele de pe card
Name on the Card,Numele de pe card
New Order Status,Stare noua comanda
Number of billing periods that make up one billing cycle.,Numar de perioade de facturare care compun un ciclu de facturare.
