"* Required Fields","* Campuri obligatorii"
"Comment","Comentariu"
"Contact Form","Formular de contact"
"Contact Information","Informatii de contact"
"Contact Us","Contactati-ne"
"Contact Us Form","Formular Contactati-ne"
"Contacts","Contacte"
"Contacts Section","Sectiune contacte"
"Email","E-mail"
"Email Options","Optiuni e-mail"
"Email Sender","Expeditor e-mail"
"Email Template","Sablon e-mail"
"Enable Contact Us","Activeaza Contactati-ne"
"Name","Nume"
"Send Emails To","Trimite e-mail-uri catre"
"Submit","Trimite"
"Telephone","Telefon"
"Unable to submit your request. Please, try again later","Cererea dumneavoastra nu a putut fi trimisa.Va rugam, incercati mai tarziu"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Cererea dumneavoastra a fost transmisa. Incercam sa raspundem intr-un timp cat mai scurt. Va multumin pentru contactare."
"Your inquiry was submitted and will be responded as soon as possible. Thank you for contacting us.","Cererea dumneavoastra a fost transmisa. Incercam sa raspundem intr-un timp cat mai scurt. Va multumin pentru contactare."
