%s,%s
%s already exist.,%s deja exista.
%s already exists.,%s deja exista.
-- Please Select --,-- Alege --
"Deleting a website will not delete the information associated with the website (e.g. stores, categories, products, etc.), but the website will not be able to be restored. It is suggested that you create a database backup before deleting the website.","Stergerea unui site nu va sterge informatiile asociate cu vitrina (ex. categorii, produse, etc.), dar site-ul nu se va putea recupera. Este recomandat sa creati un backup al bazei de date inainte de a sterge site-ul."
Disable email communications,Dezactiveaza comunicare e-mail
Disable modules output,Dezactiveaza output-ul modulelor
Duplicate Of Template Code,Cod sablon duplicat
Email,E-mail
Custom email 1,E-mail personal 1
Custom email 2,E-mail personal 2
Error while saving. Please try again later.,Eroare la salvare. Incercati mai tarziu.
Error: Passwords do not match,Eroare; Parolele nu se potrivesc
Exception Log File Name,Nume fisier log exceptii
Sender email,Expeditor e-mail
Filesystem,Sistem de fisiere
Media files directory,Directorul fisiere media
Go,Mergi
Id path for specified store,Cale ID pentru magazinul specificat
Before modifying the website code please make sure that it is not used in index.php,Inainte de a modifica codul site-ului verificati sa nu fie folosit in index.php
Before modifying the store view code please make sure that it is not used in index.php,Inainte de a modifica codul vitrinei verificati sa nu fie folosit in index.php
Incorrect credit card expiration date,Data incorecta de expirare card
Invalid base dir type specified: %s,Tipul directorului de baza specificat este nevalid : %s
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Argument actualizare layout nevalid, se asteapta Mage_Core_Model_Layout_Element"
Invalid websites configuration path: %s,Cale configurare site nevalida: %s
Keep your eyes open for our special Back to School items and save A LOT!,"Uita-te dupa articolele  din gama ""Inapoi la Scoala"" si economiseste!"
Leave empty for access from any location,Lasa liber pentru acces din orice locatie
located in {{base_dir}}/var/log,localizat in {{base_dir}}/var/log
Stores,Magazine
Store was successfully saved,Magazinul a fost salvat
Store was successfully deleted.,Magazinul a fost sters.
Store not exists,Magazinul nu exista
Model class does not exist: %s,Clasa de modele nu exista: %s
Model collection resource name is not defined,Nume resursa colectie model nedefinit.
Can't retrieve entity config: %s,Nu s-a gasit configuratia entitatii: %s
"Unable to create backup. Please, try again later.",Nu s-a putut crea backup-ul. Incercati din nou mai tarziu.
"Unable to delete Store. Please, try again later.",Nu s-a putut sterge magazinul. Incercati din nou mai tarziu.
"Unable to delete Website. Please, try again later.",Nu s-a putut sterge site-ul. Incercati din nou mai tarziu.
Cannot Delete Email Template,Nu s-a putut sterge template-ul de email
"Unable to delete Store View. Please, try again later.",Nu s-a putut sterge vitrina magazinului. Incercati din nou mai tarziu.
Sender name,Nume expeditor
File Name,Nume fisier
Locale options,Optiuni limba
Countries options,Optiuni tari
Allow countries,Permite tarile
Please choose to register or to checkout as a guest,Va rugam sa va inregistrati sau sa finalizati ca vizitator.
Please enter 6 or more characters.,Va rugam sa introduceti 6 sau mai multe caractere.
Please enter a valid URL. http:// is required,Un URL valid. http:// este necesar
Please enter valid password.,Introduceti o parola valida.
Please specify payment method.,"Va rugam, specificati modalitatea de plata"
Please specify shipping method.,"Va rugam, specificati modalitatea de livrare"
Please use letters only (a-z) in this field.,"Va rugam, folositi numai litere (a-z) in acest camp."
Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.,"Va rugam, folositi numai cifre in acest camp. Va rugam sa evitati spatiile si alte caractere cum ar fi punctele si virgulele."
