# of Use,# in uz
%1$s incl tax.,%1$s TVA incl.
%s - %s,%s - %s
%s Item(s),%s Articol(e)
%s and above,%s si peste
An error occurred while saving the search query.,A aparut o eroare in timpul salvarii cererii de cautare.
An error occurred while saving this group.,A aparut o eroare in timpul salvarii acestui grup.
An error occurred while saving this review.,A aparut o eroare in timpul salvarii acestei recenzii.
An error occurred while trying to delete the category.,A aparut o eroare in timpul stergerii acestei categorii.
An error occurred while updating the product(s) attributes.,A aparut o eroare in timpul actualizarii atributelor produsului.
An error occurred while updating the product(s) status.,A aparut o eroare in timpul actualizarii starii produsului.
"An invalid group ID is specified, skipping the record.","A fost specificat un ID grup nevalid, se omite inregistrarea."
"An invalid option ID is specified for %s (%s), skipping the record.","A fost specificat un ID optiune nevalid pentru %s (%s), se omite inregistrarea."
An invalid store was specified.,A fost specificat un magazin nevalid.
Anchor Custom Text,Text Personalizat ancora
Anchor Custom Title,Titlu Personalizat ancora
Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.,Aplicabil numai la produsele si categoriile din catalog. Orice continut media va fi introdus in editor ca URL static.Nu se actualizeaza daca URL-ul de baza al configuratiei sistemului se schimba.
Apply MAP (Default Value),Aplica MAP (Valoare standard)
Apply To,Aplica la
Approved,Aprobat
Are you sure you want to delete this category?,Sunteti sigur ca doriti sa stergeti categoria aceasta?
Are you sure you would like to remove all products from your comparison?,Sunteti sigur ca doriti sa stergeti toate produsele din comparatia dumneavoastra?
Are you sure you would like to remove this item from the compare products?,Sunteti sigur ca doriti sa stergeti acest articol din produsele de comparat?
Are you sure?,Sunteti sigur?
As low as:,Minimum:
Assign,Aloca
Assign product link,Aloca link produs
Assign product to category,Aloca produs la categorie
Assigned Products,Produse alocate
Associated Products,Produse asociate
Attrib. Set Name,Nume set atribute
"Attribute ""%s"" is invalid.","Atributul ""%s"" nu este valid."
"Attribute ""%s"" is required.","Atributul ""%s"" este necesar."
Attribute Information,Informatii atribut
Attribute Model,Model atribut
Attribute Name:,Nume atribut:
Attribute Set,Set de atribute
Attribute Sets,Seturi de atribute
Attribute add,Adaugare atribut
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Codul atributului nu este valid. Va rugam, folositi numai litere (a-z), cifre (0-9)sau underscore(_) in acest camp, primul caracter trebuie sa fie o litera."
"Attribute group with the \/name/\"" name already exists""","Un grup de atribute cu numele \/name/\"" deja exista"""
Attribute remove,Stergere atribut
Attribute with the same code already exists,Un atribut cu acelasi cod deja exista
Attributes,Atribute
Attrribute names can be specified per store.,Numele atributele pot fi specificate per magazin.
Autogenerate,Autogenereaza
Availability:,Disponibilitate:
Back,Inapoi
Backend Model,Model Backend
Backend Table,Tabel Backend
Backend Table Title,Titlu tabel Backend
Backorders,Comenzi in asteptare
Based On,Bazat pe
Before Order Confirmation,Inainte de confirmarea comenzii
Best Value,Cea mai buna valoare
Block after Info Column,Blocare dupa coloana info
Bottom Block Options Wrapper,Bottom Block Options Wrapper
Bottom/Left,Stanga/Jos
Bottom/Right,Dreapta/Jos
Browse By,Cauta dupa
Bundle Items,Pachet articole
Buy %1$s,Cumpara %1$s
Buy %1$s for,Cumpara %1$s la
Buy %1$s for %2$s,Cumpara %1$s la %2$s
Buy %1$s for %2$s (%3$s incl. tax) each,Cumpara %1$s la %2$s (%3$s TVA incl.) fiecare
Buy %1$s for %2$s each,Cumpara %1$s la %2$s fiecare
Cache Lifetime (Seconds),Durata Cache (secunde)
Cache refresh needed.,Reimprospatare Cache necesara.
Can be Divided into Multiple Boxes for Shipping,Poate fi impartit in mai multe cutii pentru livrare
Can be used only with catalog input type Dropdown,Poate fi folosit doar pentru tipul Dropdown
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Poate fi folosit doar pentru tipul Dropdown, Selectare Multipla si Pret"
Can\'t create image.,Imaginea nu poate fi creata.
Cancel,Anuleaza
Cannot create image.,Imaginea nu poate fi creata.
Cannot create writeable directory '%s'.,Nu se poate crea directorul '%s' care sa permita scrierea.
Cart Item Attribute,Atribut articol din cos
Catalog,Catalog
Catalog Category (Anchor),Categorie catalog (Ancora)
Catalog Category (Non-Anchor),Categorie catalog (Non-ancora)
Catalog Category (Without Subcategories),Categorie catalog (Fara Subcategorii)
Catalog Category Link,Link categorie catalog
Catalog New Products List,Lista produse noi catalog
Catalog Price Scope,Arie pret catalog
Catalog Product Compare List,Lista de comparare a produselor din catalog
Catalog Product Email to a Friend,Trimite unui prieten un produs din catalog
Catalog Product Image Gallery Popup,Popup galerie imagini a produselor din catalog
Catalog Product Link,Link produs din catalog
Catalog Product View (Any),Vizualizare produs din catalog (Oricare)
Catalog Product View (Configurable),Vizualizare produs din catalog (Configurabile)
Catalog Product View (Grouped),Vizualizare produs din catalog (Grupate)
Catalog Product View (Simple),Vizualizare produs din catalog (Simplu)
Catalog Product View (Virtual),Vizualizare produs din catalog (Virtual)
Catalog Section,Sectiune catalog
Catalog Seo Sitemap (Category List),Harta site Seo catalog (Lista categorii)
Catalog Seo Sitemap (Category Tree),Harta site Seo catalog (Ramuri categorii)
Catalog Seo Sitemap (Common),Harta site Seo catalog (Comun)
Catalog Seo Sitemap (Product List),Harta site Seo catalog (List produse)
Catalog URL Rewrites,Rescrieri URL Catalog
Catalog product custom option values API,API valori optiuni personalizate a produsului din catalog
Catalog product custom options API,API  optiuni personalizate a produsului din catalog
"Catalog, Search","Catalog, Cautare"
Categories,Categorii
Categories Sitemap,Harta site categorii
Category,Categorie
Category API,API Categorie
Category Data,Date Categorie
Category Flat Data,Date categorie flat
Category Link Block Template,Sablon bloc al link-ului categoriei
Category Link Inline Template,Sablon Inline al link-ului categoriei
Category Products,Produsele categoriei
Category Top Navigation,Navigare top categorie
Category URL Suffix,Sufix URL categorie
Category attributes API,API atribute categorie
Category move error,Eroare la mutarea categoriei
Category move operation is not possible: parent category is equal to child category.,Operatiunea de mutare a categoriei nu este posibila: categoria parinte este echivalenta cu cea copil.
Category move operation is not possible: the current category was not found.,Operatiunea de mutare a categoriei nu este posibila: categoria curenta nu a fost gasita.
Category move operation is not possible: the new parent category was not found.,Operatiunea de mutare a categoriei nu este posibila: noua categorie parinte nu a fost gasita.
Category must be an instance of Mage_Catalog_Model_Category.,Categoria trebuie sa fie o instanta a Mage_Catalog_Model_Category.
Center,Centru
Change,Schimba
Change or Retrieve attribute store view,Schimba sau obtine atribute vitrina
Change status,Schimba stare
Check items to add to the cart or,Bifati articole pentru a le adauga in cos sau
Choose an Option...,Alege o optiune...
Clear All,Sterge tot
Clear Price,Sterge Pret
Click for price,Click pentru pret
Close Window,Inchide fereastra
Collapse All,Restrange Tot
Comma-separated.,Separate prin virgula.
Comparable,Comparabil
Comparable on Front-end,Comparabil pe front-end
Comparable on the Frontend,Comparabil pe front-end
Compare,Compara
Compare Products,Compara produsele
Conditions Combination,Combinatie conditii
Configurable Product,Produs configurabil
Configurable Product Settings,Setari produse configurabile
Configure Product,Configureaza Produs
Continue,Continua
Copy From Configurable,Copiaza din produsul configurabil
Country/State,Tara/Stat
Create,Creaza
Create (Upload),Creaza (Incarca)
Create Empty,Creaza gol
Create Permanent Redirect for URLs if URL Key Changed,Creaza redirectionare permanenta pentru URL-uri daca codul URL se modifica.
Create Permanent Redirect for old URL,Creaza redirectionare permanenta pentru URL-uri vechi.
Create Product Settings,Setari creare produs
Create Simple Associated Product,Creaza produs asociat simplu
Create attribute set based on another set,Creaza set atribute bazat pe alt set
Create new attribute,Creaza atribut nou
Create new category,Creaza categorie noua
Create new product,Creaza produs nou
Cross-sells,Vanzari incrucisate
Currently Shopping by:,Cumpara dupa:
Custom Design,Design personalizat
Custom Options,Optiuni Personalizate
Custom options,Optiuni Personalizate
Customer Group,Grup clienti
Customers Reviews,Recenzii clienti
Customers Tagged Product,Produs cu eticheta adaugata de client
Data Type for Saving in Database,Tip de data pentru salvare in baza de date
Date & Time Custom Options,Optiuni personalizate Data/Timp
Date Fields Order,Ordine campuri date
Date Subscribed,Data Abonarii
Datetime,Data si timp
Decimal,Zecimal
Declare attribute value saving scope,Declara scopul de salvare al valorilor atributelor
"Default ""What's This"" Text Message","Mesaj text standard ""Ce este aceasta?"""
Default Popup Text Message,Mesaj text standard PopUp
Default Price,Pret Standard
Default Price Navigation Step,Pas Navigare Pret Standard
Default Qty,Cantitate Standard
Default Values,Valori Standard
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Defineste aria valutei de baza (""Setari Valuta"" > ""Options Valuta"" > ""Valuta de baza"")."
Delete,Sterge
Delete Attribute,Sterge atribut
Delete Attribute Set,Sterge set de atribute
Delete Category,Sterge categorie
Delete Group Price,Sterge pret grup
Delete Option,Sterge optiune
Delete Row,Sterge rand
Delete Search,Sterge cautare
Delete Selected Group,Sterge grupul selectat
Delete Tier,Sterge nivel
Delete attribute,Sterge atribut
Delete category,Sterge categorie
Delete product,Sterge produs
Depends on design theme,Depinde de tema design-ului
Design,Design
Details,Detalii
Disabled,Dezactivat
Disallowed file type.,Tip fisier nepermis.
Display Actual Price,Afiseaza Pret Real
Display Price Interval as One Price,Afiseaza intervalul de preturi ca un singur pret
Display Product Count,Afiseaza numaratoarea de produse
Display in Suggested Terms,Afiseaza in termenii sugerati
Double click on a group to rename it,Click dublu  pentru a redenumi un grup
Double click on above image to view full picture,Click dublu pe imaginea de mai sus pentru a vizualiza imaginea intreaga
Downloadable Information,Informatii Descarcabile
Duplicate,Duplica
Duplicate website group price customer group.,Duplicate website group price customer group.
Duplicate website tier price customer group and quantity.,Duplicate website tier price customer group and quantity.
"Duplicate website, country and state tax found.","Duplicate website, country and state tax found."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Ex. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}.Citirea dinamica a directivelor are impact asupra performantei catalogului."
Edit,Modifica
Edit Attribute Set '%s',Modifica set de atribute '%s'
Edit Product Attribute,Modifica atribut produs
"Edit Product Attribute ""%s""","Modifica atribut produs ""%s"""
Edit Search,Editeaza cautare
Edit Search '%s',Editeaza cautarea '%s'
Edit Set Name,Editeaza Nume setat
Email,E-mail
Email to a Friend,Trimite unui prieten
Empty,Gol
Enable MAP,Activeaza MAP
Enable Qty Increments,Activeaza Incrementator cantitate
Enable WYSIWYG,Activeaza WYSIWYG
Enabled,Activat
Error during retrieval of option value: %s,Eroare in timpul recuperarii valorii optiunii: %s
Exclude,Exclude
Expand All,Extinde tot
Failed,Esuat
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Copierea fisierului %s a esuat.Va rugam, stergeti fisierele media fara imagini si incercati din nou."
Failed to move file: %s,Eroare la mutarea fisier: %s
Feature Products,Produse Recomandate
Field is not complete,Campul nu este complet.
File options format is not valid.,Formatul optiunilor fisierului nu este valid.
File upload failed,Incarcarea fisierului a esuat.
Filter model name must be declared.,Numele modelului filtrului trebui declarat.
Filter must be an object. Please set correct filter.,"Filtrul trebui sa fie un obiect. Va rugam, setati filtrul corect."
Filterable (no results),Filtrabil (fara rezultate)
Filterable (with results),Filtrabil (cu rezultate)
First Name,Prenume
Fixed,Fixat
For internal use.,Pentru uz intern.
For the last time placed.,Plasat pentru ultima oara.
Frontend,Frontend
Frontend Model,Model Frontend
Frontend Properties,Proprietati Frontend
Gallery,Galerie
General Information,Informatii generale
Get full information about attribute with list of options,Obtine informatii complete despre atribut cu lista de optiuni.
Get full information about custom option in product,Obtine informatii complete despre optiunea personalizata in produs.
Get list of available custom option types,Obtine lista de tipuri de optiuni personalizate disponibile.
Get list of non-default attributes by product type and attributes set,Obtine lista de atribute non-standard dupa tipul de produs si set de atribute.
Get list of possible attribute types,Obtine lista de tipuri de atribute posibile.
Get special price,Obtine pret special
Global,Global
Globally Editable,Editabil global
Go to Home Page,Mergi la pagina principala
Grid,Tabel
Group add,Adauga Grup
Group remove,Sterge Grup
Grouped Product,Produs grupat
Groups,Grupuri
Home,Home
ID,ID
ID: %s,ID: %s
"If empty, the Category Name will be used","Daca este necompletat, numele categoriei va fi folosit"
"If empty, the Product Name will be used","Daca este necompletat, numele produsului va fi folosit"
If you do not specify an option value for a specific store view then the default (Admin) value will be used.,Daca nu specificati o valoare a optiunii pentru o anumita vitrina atunci va fi folosita valoarea standard (Admin).
Image,Imagine
Image content is not valid base64 data.,Continutul imaginii nu este valid base64
Image does not exist.,Imaginea nu exista
Image file was not found.,Fisierul de imagini nu a fost gasit.
Image type and information need to be specified for each store view.,Tipul imaginii si informatiile trebuie specificate pentru fiecare vitrina a magazinului.
In Cart,In Cos
In Stock,In Stoc
In stock,In stoc
Incl. Tax,TVA Incl.
Index product and categories URL rewrites,Indexeaza produsele si rescrierile URL din categorii
Index product attributes for layered navigation building,Indexeaza atributele produselor pentru constructia nagigarii pe straturi
Index product prices,Indexeaza preturile produselor
Indexed category/products association,Asociere categorie/produs indexata.
Info,Info
Info Column Options Wrapper,Wrapper Optiuni Coloana Info
Input Type,Tip Input
Integer,Intreg
Interval Division Limit,Limita de diviziune a intervalului
Invalid Tier Prices,Preturi Nivel nevalide
Invalid attribute %s,Atribut %s nevalid
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Optiunea atributului specificata pentru atributul %s (%s) nu este valida, se omite inregistrarea."
"Invalid attribute set specified, skipping the record.","Setul de atribute specificat nu este valid, se omite inregistrarea."
Invalid block: %s.,Bloc nevalid: %s.
Invalid category IDs.,ID-uri categorii nevalide.
Invalid category.,Categorie nevalida.
Invalid image file type.,Tipul fisieruli de imagini nu este valid.
Invalid image type.,Tipul imaginii nu este valid.
"Invalid option ID specified for %s (%s), skipping the record.","ID-ul optiunii specificate pentru %s (%s) nu este valid, se omite inregistrarea."
"Invalid product type specified, skipping the record.","Tipul produsului specificat nu este valid, se omite inregistrarea."
Invalid store specified,Magazinul specificat nu este valid
"Invalid store specified, skipping the record.","Magazinul specificat nu este valid, se omite inregistrarea."
Invalid tier prices. The product is not associated to the requested website.,Preturile de nivel nu sunt valide . Produsul nu este asociat cu site-ul solicitat.
Inventory,Inventar
Is Default,Este standard
Is Required,Este necesar
Items %s to %s of %s total,Articole %s pana la %s din %s in total
Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.,Articolele care nu vreti sa apara in catalog trebuie sa aiba valoarea 'Dezactivat' in magazinul dorit.
Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.,Articolele care nu vreti sa apara in catalog trebuie sa aiba valoarea 'Dezactivat' in magazinul dorit.
Keep your eyes open for our special Back to School items and save A LOT!,"Uitati-va dupa articolele noastre ""Inapoi la Scoala"" si economisiti!"
Label,Eticheta
Last Name,Nume
Last Notification,Ultima notificare
Layered Navigation,Navigare pe straturi
Learn More,Vezi mai mult
"Line %d, Email: %s","Linie %d, Email: %s"
"Line %d, SKU: %s","Linie %d, COD: %s"
"Link (Related, Up sell, Cross sell)","Link (Asociat, Vanzare incruciata)"
Link product does not exist.,Link-ul catre produs nu exista
Link to a Specified Category,Link catre o categorie specificata
Link to a Specified Product,Link catre un produs specificat
List,Lista
List Mode,Modul lista
List of Products that are set as New,Lista de produse care sunt setate ca si Noi
List of types,Liste de tipuri
Manage Attribute Sets,Administreaza seturile de atribute
Manage Attributes,Administreaza atributele
Manage Catalog Categories,Administreaza categoriile catalogului
Manage Categories,Administreaza categoriile
Manage Label / Options,Administreaza etichete / optiuni
Manage Options (values of your attribute),Administreaza optiuni (valori ale atributelor)
Manage Product Attributes,Administreaza atribute produs
Manage Product Sets,Administreaza seturi produs
Manage Products,Administreaza produse
Manage Stock,Administreaza stoc
"Manage Titles (Size, Color, etc.)","Administreaza titluri (Marime, Culoare, etc.)"
Max Characters,Maximum de  Caractere
Maximal Depth,Adancime maxima
Maximum Image Size,Dimensiune maxima imagini
Maximum Number of Price Intervals,Numarul maxim de intervaluri de preturi
Maximum Qty Allowed in Shopping Cart,Cantitate maxima in cos
Maximum allowed image size for '%s' is %sx%s px.,Dimensiunea maxima a imaginilor pentru '%s' este %sx%s px.
Maximum image height,Inaltimea maxima a imaginii
Maximum image width,Latimea maxima a imaginii
Maximum number of characters:,Numarul maxim de caractere:
Maximum number of price intervals is 100,Numarul maxim de intervaluri de preturieste 100
Media Image,Imagine Media
Minimum Advertised Price,Pretul Minim Promovat (MAP)
Minimum Lines per Page,Numarul minim de randuri pe pagina
Minimum Qty Allowed in Shopping Cart,Cantitate minima admisa in cos
Minimum Qty for Item\'s Status to be Out of Stock,Starea cantitatii minime a articolului pana la epuizarea sa din stoc.
"Missing SKU, skipping the record.","Lipsa cod produs, se omite inregistrarea."
More Views,Mai multe poze
Move,Muta
Move category in tree,Muta categoria in arbore
Must be in the allowed values list.,Trebuie sa fie in lista valorilor admise.
N/A,N/A
Name,Nume
Name in %s,Nume in %s
New Product,Produs nou
New Product Attribute,Atribut Produse Noi
New Products,Produse noi
New Products Grid Template,Sablon Tabel Produse Noi
New Products List Template,Sablon Lista Produse Noi
New Root Category,Categorie Radacina Noua
New Search,Cautare noua
New Set Name,Nume de set nou
New Subcategory,Subcategorie noua
Next,Urmatorul
No,Nu
No image,Fara imagine
No layout updates,Nici o actualizare de layout
No options of this product are available.,Nu sunt disponibile optiuni pentru acest produs.
No product collections found.,Nu a fost gasita nici o colectie de produse.
None,Nimic
Not Visible Individually,Nu se poate vizualiza individual
Notify Low Stock RSS,Anunta stoc limitat RSS
Notify for Quantity Below,Anunta la cantitate mai mica de
Number of Products to Display,Numar de produse de afisat
Number of Uses,Numar de utilizari
Number of results,Numar de rezultate
Number of results (For the last time placed),Numar de rezultate (plasat pentru ultima data)
OK,OK
OR,Sau
Old Price:,Pret vechi:
On Gesture,La Click
Option validation failed to add product to cart.,Validarea optiunii a esuat la adaugarea in cos.
Option values,Valori optiuni
Option:,Optiune:
Options,Optiuni
Options Control,Control optiuni
Options is required,Necesita alegere optiune
Our customer service is available 24/7. Call us at (555) 555-0123.,"Serviciul ""Relatii Clienti"" este disponibil 24/7. Sunati-ne la (555) 555-0123."
Out of Stock,Nu este in stoc
Out of stock,Nu este in stoc
PM,PM
Page Title Separator,Separatorul titlului paginii
Parent Category,Categorie parinte
Pending,In asteptare
Pending Reviews RSS,Recenzii in asteptare RSS
Percentage,Procentaj
Please add rows to option.,"Va rugam, adaugati randuri la optiune."
Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.,"Va rugam, aveti grija pentru ca odata ce ati facut click pe rand acesta va incarca formularul cu date de impachetare. Fisierul selectat si toate datele nesalvate din formular vor fi pierdute."
Please click on the Close Window button if it is not closed automatically.,"Va rugam, faceti click pe butonul de inchidere al ferestrei daca aceasta nu se inchide automat."
Please enter a new group name,Introduceti un nou nume de grup
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Va rugam, reimprospatati ""Rescriere URL Catalog"" si ""Atribute Produs"" in Sistem -> <a href=""%s"">Administrare Index</a>"
Please select a static block ...,"Va rugam, selectati un bloc static ..."
Please select items.,"Va rugam, selectati articole."
Please select one or more attributes.,"Va rugam, selectati unul sau mai multe atribute."
Please select product(s).,"Va rugam, selectati produse."
Please select products for attributes update,"Va rugam, selectati produse pentru actualizarea atributelor."
Please specify date required option(s).,"Va rugam, specificati optiuni necesare datei."
"Please specify the number of products, that will not be divided into subintervals.","Va rugam, specificati numarul de produse care nu vor fi divizate in subintervale."
Please specify the product required option(s),"Va rugam, specificati optiuni necesare produsului."
Please specify the product required option(s).,"Va rugam, specificati optiuni necesare produsului."
Please specify the product\'s option(s).,"Va rugam, specificati optiunile produsului."
Please specify the product\'s required option(s).,"Va rugam, specificati optiunile necesare produsului."
Please specify the quantity of product(s).,"Va rugam, specificati cantitatea de produse."
Please specify time required option(s).,"Va rugam, specificati optiuni necesare timpului."
Please wait...,"Va rugam, asteptati..."
Position,Pozitie
Position in Layered Navigation,Pozitie in Navigarea pe straturi
Position of attribute in layered navigation block,Pozitia atributului in blocul de navigare pe straturi
Prev,Inapoi
Previous,Anterior
Price,Pret
Price Navigation Step Calculation,Calculare segmente din navigarea pe preturi
Price Type,Tip Pret
Price is not available,Pretul nu este disponibil
Price values for options should be specified in system base currency.,Valorile pretului trebuie specificate in valuta de baza.
Price:,Pret:
Price: %s,Pret: %s
Print This Page,Printeaza pagina
Product,Produs
Product API,API Produs
Product Alerts,Alerte produs
Product Attribute,Atribut produs
Product Attributes,Atribute produs
Product Categories,Categorii de produse
Product Description,Descriere produs
Product Extra Info,Informatii Aditionale Produs
Product Flat Data,Product Flat Data
Product ID,ID Produs
Product Image Placeholders,Inlocuitori imagine produs
Product Image Watermarks,Watermarks imagine produs
Product Images,Imagini Produs
Product Images API,API Imagini Produs
Product In Websites,Produs In Site-uri
Product Info Column,Coloana Info Produs
Product Information,Informatii produs
Product Link Block Template,Sabon bloc link produs
Product Link Inline Template,Sablon Inline link produs
Product Listing Sort by,Listare produs dupa
Product Name,Nume produs
Product Prices,Preturi produs
Product Reviews,Rcenzii produs
Product Tags,Etichete produs
Product Tier Price API,API pret pe nivele produs
Product Type,Tip produs
Product URL Suffix,Sufix URL produs
Product View Extra Hint,Sugestie suplimentara vizualizare produs
Product attribute sets API,API Seturi atribut produs
Product attributes API,API atribute produs
Product collection expected.,Se asteapta o colectie de produse.
Product is not loaded,Produsul nu este incarcat
"Product links API (related, cross sells, up sells)","API link-uri produs (asocieri,Vanzari incrucisate, up-sells)"
Product name,Nume produs
Product types API,API tipuri produs
Product with this combination of attributes already associated to configurable.,Un produs cu aceasta combinatie de atribute este deja asociat la un configurabil.
Products,Produse
Products Comparison List,Lista de comparatie produse
Products Information,Informatii produse
Products Reviews,Recenzii produse
Products Sitemap,Harta site produse
Products only,Doar produse
Products per Page on Grid Allowed Values,Produse per pagina la valorile permise in grila
Products per Page on Grid Default Value,Produse per pagina la valoarea standard din grila
Products per Page on List Allowed Values,Produse per pagina la valorile permise in lista
Products per Page on List Default Value,Produse per pagina la valoarea standard din grila
Properties,Proprietati
Qty,Cantitate
Qty Increments,Mariri de cantitate
Qty Uses Decimals,Cantitatea foloseste zecimale
Qty for Item\'s Status to Become Out of Stock,Starea cantitatii articolului pana la epuizarea sa din stoc.
Qty:,Cant:
Quantity,Cantitate
Quick Create,Creare rapida
Quick Overview,Vizualizare de ansamblu rapida
Quick simple product creation,Creare rapida simpla a unui produs
"Records for ""","Inregistrari pentru """
Redirect,Redirectionare
Redirect URL,URL redirectionare
Regular Price:,Pret normal:
Related Products,Produse asociate
Remove,Sterge
Remove Product From Websites,Sterge produs din Site-uri
Remove This Item,Sterge acest articol
Remove attribute from attribute set,Sterge atribut din setul de atribute
Remove attribute set,Sterge setul de atribute
Remove custom option,Sterge optiune standard
Remove group from attribute set,Sterge grup din setul de atribute
Remove option,Sterge optiune
Remove product assignment,Sterge alocarea produsului
Remove product image,Sterge imaginea produsului
Remove product link,Sterge link-ul produsului
Remove value from custom option,Sterge valoare din optiunea standard
Rename existing group,Redenumeste grupul existent
Rename group,Redenumeste grup
Reorganize EAV category structure to flat structure,Reorganizeaza structura categoriei EAV ca structura flat
Reorganize EAV product structure to flat structure,Reorganizeaza structura produsului EAV ca structura flat
Reset,Reseteaza
Results,Rezultate
Retrieve attribute data,Obtine date atribut
Retrieve attribute list,Obtine lista atribut
Retrieve attribute options,Obtine optiuni atribut
Retrieve categories tree,Obtine ramuri categorii
Retrieve category attributes,Obtine atribute categorie
Retrieve category data,Obtine date categorie
Retrieve hierarchical tree,Obtine ramurile ierarhice
Retrieve linked products,Obtine produse asociate
Retrieve list of assigned products,Obtine lista de produse alocate
Retrieve list of option values,Obtine lista de valori optiuni
Retrieve list of product custom options,Obtine lista de optiuni personalizate produs
Retrieve one level of categories by website/store view/parent category,Obtine un nivel de categorii dupa site/vitrina/Categorie principala
Retrieve option value info,Obtine informatii valoare optiune
Retrieve product,Obtine produs
Retrieve product attribute sets,Obtine seturi atribute produs
Retrieve product image,Obtine imagine produs
Retrieve product image list,Obtine lista imagini produs
Retrieve product image types,Obtine tipuri imagini produs
Retrieve product link type attributes,Obtine atributele tip link ale produsului
Retrieve product link types,Obtine tipuri link produs
Retrieve product tier prices,Obtine nivel preturi produs
Retrieve product types,Obtine tipuri produs
Retrieve products data,Obtine date produse
Retrieve products list by filters,Obtine lista de produse prin filtre
Reviews,Recenzii
Roll Over for preview,Pozitioneaza cursorul peste pentru vizualizare
Root,Radacina
SKU,Cod produs
SKU length should be %s characters maximum.,Lungimea codului de produs trebuie sa fie de maximum %s caractere.
Save,Salveaza
Save Attribute,Salveaza atribut
