# of Use,# in uz
%1$s incl tax.,%1$s TVA incl.
%s - %s,%s - %s
%s Item(s),%s Articol(e)
%s and above,%s si peste
Save Attribute Set,Salveaza set atribute
Save Category,Salveaza categorie
Save Search,Salveaza cautare
Save and Continue Edit,Salveaza si Continua Editarea
Saved %d record(s),Au fost salvate %d inregistrari.
Scope,Arie
"Scope must not be changed, because the attribute is used in configurable products.","Aria nu trebuie schimbata, deoarece atributul este folosit la produsele configurabile."
Search,Cauta
Search Engine Optimizations,Optimizari pentru motoare de cautare
Search Information,Informatii cautare
Search Query,Cerere de cautare
Search Term with such search query already exists.,Termen de cautare cu astfel de cerere de cautare deja exista.
Searchable,Cautabil
See price before order confirmation.,Vezi pret inainte de confirmarea comenzii
Select Category...,Selecteaza Categorie...
Select Configurable Attributes,Seleceaza atribute configurabile
Select Product...,Selecteaza produs...
Select type of option,Selecteaza tip optiune
Select type options required values rows.,Selecteaza randurile de valori necesare tipurilor de optiuni.
Selected Product Types,Selecteaza tipul de produs
Selected configuration is not available.,Configuratia selectata nu este disponibila.
Send Count,Trimite numaratoare
Set Ascending Direction,Seteaza crescator
Set Descending Direction,Seteaza descrescator
Set Name,Seteaza numele
Set Root Category for Store,Seteaza categoria radacina pentru magazin
"Set root category for this store in the <a href=""%s"">configuration</a>","Seteaza categoria radacina pt magazin in <a href=""%s"">configurare</a>"
Set special price,Seteaza pret special
Set/Get current store view,Setaza/Obtine vitrina curenta
Settings,Setari
Shop By,Filtre
Shopping Options,Optiuni de cumparare
Show,Afiseaza
Show Details,Afiseaza Detalii
Show Tags,Afiseaza Etichete
Simple Product,Produs simplu
Site Map,Harta site
Sitemap,Harta site
"Skip import row, is not valid value ""%s"" for field ""%s""","Se omite randul de import, ""%s"" nu este o valoare valida pentru campul ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Se omite randul de import, campul ""%s"" necesar noului client nu este definit."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Se omite randul de import, valoarea ""%s"" nu este valida pentru campul ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Se omite randul de import, campul ""%s"" necesar noului produs nu este definit."
"Skipping import row, required field ""%s"" is not defined.","Se omite randul de import, campul ""%s"" necesar nu este definit."
"Skipping import row, store ""%s"" field does not exist.","Se omite randul de import, campul magazinului ""%s"" nu exista."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Se omite randul de import, valoarea ""%s"" nu este valida pentru campul ""%s"""
Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.,Unele dintre produsele procesate nu au coduri definite. Va rugam sa le definiti inainte de a efectua operatiuni asupra acestor produse.
Some of the products below do not have all the required options. Please edit them and configure all the required options.,Unele dintre produsele de mai jos nu au toate optiunile necesare.Va rugam sa le editati si sa configurati toate optiunile necesare.
Sort By,Sorteaza dupa
Sort Order,Ordine sortare
Source Model,Model sursa
Special Expires On: %s,Promotia Expira pe: %s
Special Price:,Pret special:
Special Price: %s,Pret special: %s
Starting at:,Incepand de la:
Static,Static
Static block and products,Bloc static si produse
Static block only,Numai bloc static
Status,Stare
Stock Availability,Disponibilitate stoc
Store,Magazin
Store View,Vitrina magazin
Stretch,Intinde
Subscribe to RSS Feed,Aboneaza-te la feed-uri RSS
Super product attributes configuration,Configurare atribute pentru superprodus
Synonym For,Sinonim cu
System Properties,Proprietati sistem
Tag Name,Nume eticheta
Tax,TVA
Template,Sablon
Text,Text
The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module,"Modulul catalogului flat are o limita de %2\$d atribute filtrabile si/sau sortabile. Momentan exista %1\$d. Va rugam, reduceti numarul de atribute filtrabile/sortabile pentru a folosi acest modul."
The attribute model is not defined,Modelul atributului nu este definit.
The attribute set has been saved.,Setul de atribute a fost salvat.
The base directory to upload file is not specified.,Directorul de baza pentru incarcarea fisierului nu este specificat.
The category has been deleted.,Categoria a fost stearsa.
The category has been saved.,Categoria a fost salvata.
The comparison list was cleared.,Lista de comparare a fost golita.
The file '%s' for '%s' has an invalid extension,Fisierul '%s' pentru '%s' are o extensie nevalida.
The file '%s' you uploaded is larger than %s Megabytes allowed by server,Fisierul '%s' pe care l-ati incarcat depaseste marimea de %s Mb admisa de server
The file you uploaded is larger than %s Megabytes allowed by server,Fisierul pe care l-ati incarcat depaseste marimea de %s Mb admisa de server
The filters must be an array.,Filtrele trebuie sa fie un array
The image contents is not valid base64 data.,Continutul imaginii nu este compatibil cu base64.
The image is not specified.,Imaginea nu este specificata.
The model collection resource name is not defined.,Numele resursei colectiei model nu este definit.
The product %s has been added to comparison list.,Produsul %s a fost adaugat la lista de comparare.
The product %s has been removed from comparison list.,Produsul %s a fost sters din lista de comparare.
The product attribute has been deleted.,Atributul produsului a fost sters.
The product attribute has been saved.,Atributul produsului a fost salvat.
The product has been created.,Produsul a fost creat.
The product has been deleted.,Produsul a fost sters.
The product has been duplicated.,Produsul a fost duplicat.
The product has been saved.,Produsul a fost salvat.
The product has required options,Produsul are optiuni necesare
The review has been deleted,Recenzia a fost stearsa.
The review has been saved.,Recenzia a fost salvata.
The review was removed by another user or does not exist.,Recenzia a fost stearsa de catre alt utilizator sau nu exista.
The search was deleted.,Cautarea a fost stearsa.
The text is too long,Textul este prea lung.
There are no %s available.,Nu exista %s.
There are no customers for this alert,Nu exista clienti pentru aceasta alerta
There are no customers for this alert.,Nu exista clienti pentru aceasta alerta
There are no products matching the selection.,Nu exista produse conform criteriilor selectate.
There was an error while request processing.,A aparut o eroare in timpul procesarii cererii.
This Attribute no longer exists,Atributul nu mai exista.
This attribute cannot be deleted.,Acest atribut nu poate fi sters.
This attribute cannot be edited.,Acest atribut nu poate fi editat.
This attribute cannot be updated.,Acest atribut nu poate fi actualizat.
This attribute is used in configurable products.,Acest atribut este folostit la produse configurabile.
This attribute is used in configurable products. You cannot remove it from the attribute set.,Acest atribut este folostit la produse configurabile. Nu il puteti elimina din setul de atribute.
This attribute no longer exists,Acest atribut nu mai exista.
This attribute set no longer exists.,Acest set de atribute nu mai exista.
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Acest grup contine atribute folostite la produse configurabile.  Va rugam, mutati aceste atribute in alt grup si incercati din nou."
This group contains system attributes. Please move system attributes to another group and try again.,Acest grup contine atribute de sistem. Mutati atributele in alt grup si incercati din nou.
This is a required option,Aceasta este o optiune necesara
This product no longer exists.,Acest produs nu mai exista.
This search no longer exists.,Aceasta cautare nu ma exista.
This setting will be applied when all prices in the specific price interval are equal.,Aceasta setare va fi aplicata cand toate preturile din intervalul specificat sunt egale.
Tier Pricing,Stabilirea preturilor pe nivele
Tile,Tile
Time Format,Format Timp
Title,Titlu
"To reindex the enabled product(s), the store or product must be specified","Pentru a reindexa produsul activat, magazinul sau produsul trebuie specificat."
"To see product price, add this item to your cart. You can always remove it later.",Adaugati articolul in cos pentru a vedea pretul acestuia. Poate fi eliminat ulterior.
Top/Left,Stanga/Sus
Top/Right,Dreapta/Sus
Total Qty Base Items,Cantitate totala articole de baza
Total incl. Tax: %1$s,Total incl. TVA: %1$s
Total of %d record(s) have been deleted.,Un total de %d inregistrari au fost sterse.
Total of %d record(s) have been updated.,Un total de %d inregistrari au fost actualizate.
Total of %d record(s) were updated,Un total de %d inregistrari au fost actualizate.
Type,Tip
URL Rewrite Management,Administrare rescrieri URL
Unable to complete this request.,Aceasta cerinta nu poate fi finalizata.
Unable to find a search term to delete.,Nu s-a putut gasi un termen de cautare de sters.
Unable to find an attribute to delete.,Nu s-a putut gasi un atribut de sters.
Unable to get the product ID.,Nu s-a putut obtine ID-ul produsului.
Unassigned Attributes,Atribute nealocate
"Unknown EAV indexer type ""%s"".","Tip indexator EAV ""%s"" necunoscut."
Unknown attribute: %s.,Atribut necunoscut: %s.
"Unsupported product type ""%s"".","Tip produs ""%s"" neacceptat."
Up-sells,Up-sells
Update,Actualizeaza
Update Attributes,Actualizeaza atribute
Update Tier Price,Actualizeaza pret nivel
Update assigned product,Actualizeaza produs alocat
Update attribute,Actualizeaza atribut
Update attributes,Actualizeaza atribute
Update category,Actualizeaza categorie
Update custom option of product,Actualizeaza optiunea personalizata a produsului
Update product,Actualizeaza produs
Update product image,Actualizeaza imagine produs
Update product link,Actualizeaza link produs
Update product tier prices,Actualizeaza preturile pe nivele ale produsului
Update value of custom option,Actualizeaza valoarea optiunii personalizate
Upload new product image,Incarca imagine noua produs
Use Canonical Link Meta Tag For Categories,Foloseste meta-tagul Canonical Link pentru categorii
Use Canonical Link Meta Tag For Products,Foloseste meta-tagul Canonical Link pentru produse
Use Categories Path for Product URLs,Foloseste calea categoriilor pentru URL produse
Use Config Settings,Foloseste setarile din Config
Use Default Value,Foloseste valoare standard
Use Flat Catalog Category,Foloseste model flat pentru categorie
Use Flat Catalog Product,Foloseste model flat pentru produs
Use In Layered Navigation,Foloseste la navigarea pe straturi
Use In Search Results Layered Navigation,Foloseste la navigarea pe straturi rezultate cautare
Use JavaScript Calendar,Foloseste Calendar JavaScript
Use Static URLs for Media Content in WYSIWYG for Catalog,Foloseste URL-uri statica pentru continut media in WYSIWYG pentru Catalog
Use To Create Configurable Product,Foloseste la crearea de produs configurabil
Use Tree Like Category Sitemap,Foloseste harta site categorii in forma arborescenta
Use config,Foloseste config
Use default,Foloseste standard
Use for Promo Rule Conditions,Foloseste pentru conditii si reguli ale promotiei
Use four-digit year format.,Foloseste format al anului din 4 cifre.
Use in Advanced Search,Foloseste in cautare avasata
Use in Layered Navigation,Foloseste navigarea pe straturi
Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown'),Foloseste navigarea pe straturi<br/>(Poate fi folosita numai cu input de tip 'Dropdown')
Use in Quick Search,Foloseste in cautare rapida
Used for Sorting in Product Listing,Folosit pentru sortare in Listarea Produselor
Used in Product Listing,Folosit in Listarea Produselor
"Value for ""%s"" is invalid.","Valoarea pentru ""%s"" nu este valida."
"Value for ""%s"" is invalid: %s","Valoarea pentru ""%s"" nu este valida: %s"
Varchar,Camp Caractere Variabile
View as,Vizualizeaza ca
Virtual Product,Produs Virtual
Visibility,Vizibilitate
Visible,Vizibil
Visible on Catalog Pages on Front-end,Vizibil pe paginile catalogului la client
Visible on Product View Page on Front-end,Vizibil pe pagina de vizualizare a prdusului la client
WYSIWYG Editor,Editor WYSIWYG
Watermark,Watermark
Watermark Default Size,Dimensiuni standard watermark
"Watermark Opacity, Percent","Opacitate watermark, Procente"
Watermark Position,Pozitie watermark
We Also Recommend,Va recomandam si
Website,Site
Websites,Site-uri
What's this?,Ce este aceasta?
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Daca sa se afiseze optiunea ""Toate"" in meniul ""Afiseaza X Pe Pagina""."
Will make search for the query above return results for this search.,Va face ca o cautare pentru interogarea de deasupra sa dea aceleasi rezultate ca si aceasta cautare.
Wrong BuyRequest instance in options group.,Instanta BuyRequest din grupul de optiuni este incorecta.
Wrong configuration item instance in options group.,Instanta articolului de configurare din grupul de optiuni este incorecta.
Wrong configuration item option instance in options group.,Instanta optiunii articolului de configurare din grupul de optiuni este incorecta.
Wrong option instance type in options group.,Tipul instantei optiunii din grupul de optiunii este incorect.
Wrong option type to get group instance.,Tipul optiunii este incorect pentru a putea obtine instanta de grup.
Wrong product instance type in options group.,Tipul instantei produsului din grupul de optiuni este incorect.
Wrong product type filter specified,Filtrul specificat pentru tipul de produs este incorect.
Wrong product type to extract configurable options.,Tipul de produs este incorect pentru a putea extrage optiuni configurabile.
Year Range,Interval Ani
Yes,Da
You cannot remove system attribute from this set.,Nu se poate sterge atributul sistem din acest set.
You have no items to compare.,Nu aveti produse de comparat.
You may also be interested in the following product(s),Recomandam si urmatoarele produse:
Zoom In,Marire
Zoom Out,Micsorare
and,si
and above,si peste
categories,categorii
each,fiecare
ex. http://domain.com,ex. http://domeniu.com
leave blank if its not an image,lasa gol daca nu exista imagine
per page,pe pagina
products,produse
px.,px.
save,salveaza
select all,selecteaza toate
unselect all,deselecteaza toate
x,x
(Will make search for the query above return results for this search.),(Face ca o cautare pentru interogarea de deasupra sa dea aceleasi rezultate ca si aceasta cautare.)
This tab contains invalid data. Please solve the problem before saving.,Aceasta fereastra contine date nevalide. Rezolvati problema inainte de a salva.
Currently Shopping by,Acum cumparati in functie de
Add Items to Cart,Adauga articole in cos
Add Recipient,Adauga destinatar
Add to My Wishlist,Adauga la lista mea de favorite
Add Option,Adauga optiune
Please add one or more options,Adauga una sau mai multe optiuni
Email Address,Adresa de e-mail
Email Address:,Adresa de e-mail:
Please select static block ...,Alege bloc static ...
Choose option...,Alege optiunea...
Please select product(s),Alege produs(e)
Please click on Close Window button if it won't be closed automatically,Apasa pe Inchide fereastra daca nu se inchide automat.
Apply To Configurable/Grouped Product,Aplica la produse configurabile/grupate
Array of Entity collections is expected,Se asteapta array de colectii de entitati
Unknown attribute: %s,Atribut necunoscut: %s
Product attribute was successfully saved,Atributul produsului a fost salvat cu succes
Product attribute was successfully deleted,Atributul produsului a fost sters cu succes
Check items to add to the cart or,Bifeaza articole pentru a le adauga in cos sau
Text Field,Camp text
Minimum Qty for Item's Status to be Out of Stock,"Starea cantitatii minime pana la ""Stoc epuizat"""
Catalog Input Type for Store Owner,Catalog tip input pentru proprietarul magazinului
Catalog Searches,Cautari Catalog
New Category,Categorie noua
Category saved,Categorie salvata
Category deleted,Categorie stearsa
Search was successfully deleted,Cautarea a fost stearsa cu succes
This search no longer exists,Cautarea nu mai exista
Best Selling Products,Cele mai vandute produse
Default Tax Class,Clasa standard de taxare
Clean boot cut women's business pant,Pantaloni office evazati de dama
Attribute Code,Cod atribut
Compare Items,Compara articole
Compare Products List,Compara lista de produse
Compare Products - %d Items,Compara produse - %d articole
Buy %s for %s,Cumpara %s la %s
Buy %s for %s each,Cumpara %s la %s fiecare
Shop by,Sorteaza dupa
Customers for alert %s was successfuly added to queue,Alerta selectata %s a fost adaugata la lista
Yes/No,Da/Nu
If you do not specify an option value for a store then the default value will be used.,"Daca nu specificati o valoare pentru magazin, va fi utilizata valoarea standard."
Date,Data
Recipient:,Destinatar:
Discount,Reducere
Availability: In stock.,Disponibilitate: In stoc.
Availability: In stock. Ships within 24 hours.,Disponibilitate: In stoc. Se livreaza in 24 de ore.
Availability: Out of stock.,Disponibilitate: Stoc Epuizat
Dropdown,Dropdown
Email:,E-mail:
Entity collection is expected,Colectia de entitati este necesara
There was an error while updating product(s) attributes,Eroare la actualizarea atributelor produselor
There was an error while adding products to websites,Eroare la adaugarea produselor la site-uri
Error while saving this group. Please try again later.,Eroare la salvarea grupului. Incercati mai tarziu.
Error while saving this group. Group with the same name already exists.,Eroare la salvarea grupului. Exista deja un grup cu acelasi nume.
Product saving error.,Eroare la salvarea produsului.
Category delete error,Eroare la stergerea categoriei
There was an error while removing products from websites,Eroare la stergerea produselor din site-uri
Error while adding customers for %s alert. Message: %s,Eroare la adaugare client la alerte %s. Mesaj: %s
Are you sure you want to delete this attribute set?,Sunteti sigur ca doriti sa stergeti setul de atribute?
Are you sure you would like to remove all item from compare products?,Sunteti sigur ca doriti sa stergeti toate produsele din lista de comparatie?
Attribute Label,Eticheta atribut
There is %d product(s) that will be not updated for selected store,Exista %d produs(e) care nu vor fi actualizate pentrut acest magazin
Sender:,Expeditor:
Filter model name must be declared,Trebuie declarat filtrul
Filter must be as object. Set correct filter please,"Filtru trebuie sa fie un obiect. Va rugam, setati filtrul corect."
Filters must be as array,Filtrele trebuie sa fie tip array
Use categories path for product URLs,Foloseste calea categoriilor pentru URL produse
Use in advanced search,Foloseste in cautare avansata
Use in quick search,Foloseste in cautare rapida
Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown'),Foloseste la navigarea pe straturi<br/>(se poate folosi doar cu tipul 'Dropdown')
For internal use. Must be unique with no spaces,Pentru uz intern. Trebuie sa fie unic fara spatii
Manage Ratings,Administreaza evaluari
Attribute Identifier,ID atribut
Image not exists,Imaginea nu exista
The information in this tab has been changed.,Informatiile din aceasta fereastra s-au schimbat.
Subscribe to Feed,Aboneaza-te la feed
"Invalid attribute option specified for attribute %s (%s), skipping the record","Optiunea atributului specificata pentru atributul %s (%s) nu este valida, se omite inregistrarea."
"Invalid attribute set specified, skipping the record","Setul de atribute specificat nu este valid, se omite inregistrarea."
Invalid block: %s,Bloc nevalid: %s
Invalid category IDs,ID-uri categorii nevalide.
Invalid image file type,Tip fisier imagini nevalid.
"Invalid option id specified for %s (%s), skipping the record","A fost specificat un ID optiune nevalid pentru %s (%s), se omite inregistrarea."
"Invalid product type specified, skipping the record","Tipul produsului specificat nu este valid, se omite inregistrarea."
"Invalid store specified, skipping the record","Magazinul specificat nu este valid, se omite inregistrarea."
Kamper state-of-art Extra Comfort runners,Kamper state-of-art Extra Comfort runners
Product collection expected,Lipseste colectia de produse
Compare list successfully cleared,Lista de comparatie a fost stearsa cu succes
Letters,Litere
Letters(a-zA-Z) or Numbers(0-9),Litere(a-zA-Z) sau numere(0-9)
Maximum %d email addresses allowed.,Maxim %d adrese e-mail permise.
Message:,Mesaj:
"Missing SKU, skipping the record","Lipseste codul, inregistrarea va fi omisa"
Category Navigation:,Navigare categorie:
Required,Necesar
Nowhere,Nicaieri
No product collections found,Nicio colectie de produse
Products per Page on List default value,Nr. produse pe pagina ca lista
Products per Page on Grid default value,Nr. produse pe pagina ca tabel
Not shared with other products,Nu e comun cu alte produse
Attribute model not defined,Nu este definit un model de atribut
Unable to get product id.,Nu s-a gasit ID-ul produsului.
Image file not found,Nu s-a gasit imaginea
Unable to find an attribute to delete,Nu s-a gasit niciun atribut de sters
Unable to find a search term to delete,Nu s-a gasit niciun termen de sters
Unable to complete request. Please try again later.,Nu s-a putut finaliza. Incearca mai tarziu.
You cannot update this attribute,Nu se poate actualiza acest atribut
You cannot edit this attribute,Nu se poate modifica acest atribut
You cannot delete this attribute,Nu se poate sterge acest atribut
Number of results<br/>(For last time placed),Numar de rezultate<br/>(pentru ultima data)
Integer Number,Numar intreg
Decimal Number,Numar zecimal
Name In %s,Nume In %s
Name:,Nume:
Name<br/>(For internal use),Nume<br/>(pentru uz intern)
Option,Optiune
Product Options,Optiuni produs
Bundle,Pachete
Page:,Pagina:
Panasoic HDC-SD1 High Definition Camcorder,Panasoic HDC-SD1 High Definition Camcorder
Review was saved successfully,Recenzie salvata cu succes
Review was successfully saved,Recenzie salvata cu succes
Review successfully deleted,Recenzie stearsa cu succes
Customer Reviews,Recenzii client
Pending Reviews,Recenzii in asteptare
Reviews and Ratings,Recenzii si Evaluari
Position In Layered Navigation,Pozitie in navigarea pe straturi
Special Price,Pret special
Default price,Pret standard
Prices,Preturi
"Problem saving the collection, aborting. Error: %s","Probleme la salvarea colectiei, se anuleaza. Eroare: %s"
Product Attribute Sets,Seturi de atribute produs
Product %s successfully added to compare list,Produs %s adaugat cu succes la lista de comparatie
Product %s successfully removed from compare list,Produs %s sters cu succes din lista de comparatie
Product was successfully created.,Produs creat cu succes.
Product duplicated,Produs duplicat
Product was successfully saved.,Produs salvat salvat.
Product deleted,Produs sters
Cross-sell Products,Produse pentrut vanzari incrucisate
Attribute Properties,Proprietati atribut
Saved,Salvat
save %s%%,salveaza %s%%
Save And Continue Edit,Salveaza si continua editarea
Sandra Mashiso Red Business shoes,Sandra Mashiso Red Business shoes
Multiple Select,Selectie multipla
Our customer service is available 24/7. Call us at (800) DEMO-NUMBER.,"Serviciul clienti este disponibil de Luni pina Vineri, 9.00-17.00. Ne gasesti la 0332 803417, Pentru urgente 0740077978."
Set Root Category For Store,Seteaza categoria radacina pentru magazin
Synonym for,Sinonim cu
System,Sistem
"Skip import row, required field ""%s"" for new customer not defined","Se omite randul de import, campul ""%s"" necesar noului client nu este definit."
"Skip import row, required field ""%s"" for new products not defined","Se omite randul de import, campul ""%s"" necesar noului produs nu este definit."
"Skip import row, required field ""%s"" not defined","Se omite randul de import, campul ""%s"" necesar nu este definit."
"Skip import row, store ""%s"" field not exists","Se omite randul de import, campul magazinbului ""%s"" nu exista."
Sort by,Sorteaza dupa
Product Attribute Specs,Specificatii atribut produs
Remove Email,Sterge E-mail
Clear All Items,Sterge filtrele
Remove Product,Sterge Produs
Out of stock.,Stoc Epuizat
This bundle is out of stock.,Stocul acestui pachet s-a epuizat.
Product URL Suffix (cache refresh needed),Sufix URL pentru produs (reimprospatare cache necesara)
Text Area,Arie text
Search Term with such search query already exist.,Termen de cautare cu astfel de cerere de cautare deja exista.
Search Term was successfully saved,Termen de cautare salvat cu succes
All Reviews,Toate recenziile
Base directory to upload image file is not specified,Directorul de baza pentru incarcarea fisierului imagine nu este specificat.
Send email,Trimite e-mail
Total of %d record(s) were successfully updated,Un numar de %d inregistrari au fost actualizate
Total of %d record(s) were successfully deleted,Un numar de %d inregistrari au fost sterse
Url,Url
Url Rewrite Management,Administrare rescrieri URL
Input Validation for Store Owner,Validare input pentru proprietarul magazinului
Default value,Valoare standard
Unique Value,Valoare unica
Unique Value (not shared with other products),Valoare unica (nepartajata cu alte produse)
Values Required,Valori necesare
View Details,Vezi detalii
See all %s,Vezi toate %s
Zynicon Cinema Display 19-inch LCD monitor,Zynicon Cinema Display 19-inch LCD monitor
Zynicon Clear Blue 24-inch LCD monitor,Zynicon Clear Blue 24-inch LCD monitor
[GLOBAL],[GLOBAL]
"%s-%s of %s","%s-%s of %s"
"All products","Toate produsele"
"All products - recently added products, New products - products marked as new","Toate produsele - produse adaugate recent, produse noi - produse marcate ca noi"
Amount,Total
"An error occurred while saving the product. ","A avut loc o eroare in timpul salvarii produsului. "
"Attribute group with the \"/name/\" name already exists","Grupul de atribute cu numele \"/name/\" exista in sistem"
"Base Image Width","Latimea imaginii de baza"
"Category move error %s","Eroare in timpul mutarii categoriei %s"
Description,Descriere
"Display Page Control","Controlul afisarii paginii"
"Display Type","Tip afisare"
"Duplicate amount found.","Am gasit un total duplicat."
"Enable for reindexing a big number of SKUs.","Porniti pentru reindexarea unui numar mare de SKU-uri."
Filter,Filtru
"Maximum width base product image will be scaled down to in pixels","Latimea maxima la care imaginea de baza va fi redusa, in pixeli"
"Maximum width small product image will be scaled down to in pixels","Latimea maxima la care imaginea mica va fi redusa, in pixeli"
"Middle Name","Nume mijlociu"
"Multi update product","Multi-update produs"
"My Account","Contul meu"
"New products","Produse noi"
"Number of Products per Page","Numar de produse pe pagina"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Va rugam reimprospatati ""Rescrierei URL-uri catalog"" si ""Atribute produs"" in Sistem -&gt; <a href=""%s"">Management indecsi</a>"
"Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Va rugam reimprospatati ""Atribute produs"" in Sistem -&gt; <a href=""%s"">Management indecsi</a>"
"Please set up merge date/time","Va rugam setati data si ora pentru combinare"
"Please set up merge date/time later then present date","Va rugam setati data si ora pentru combinare in viitor"
"Product Image","Imagine produs"
"Records for ""%s"" store found.","Au fost gasite inregistrari pentru magazinul ""%s""."
"Results per page","Rezultate pe pagina"
"Search Weight","Greutate cautare"
"Select Configurable Attributes ","Alegeti atributele configurabile "
"Share Facebook","Share Facebook"
"Share on Facebook","Share pe Facebook"
"Share on Twitter","Share pe Twitter"
"Small Image Width","Latime imagine mica"
"Some of the selected item options are not currently available.","Unele din optiunile selectate nu sunt disponibile."
"The From Date value should be less than or equal to the To Date value.","Valoarea pentru Data De La trebuie sa fie mai mica sau egala cu valoarea pentru Data Pana La."
"The attribute code \'%s\' is reserved by system. Please try another attribute code","Codul de atribut \'%s\' este rezervat pentru uz intern. Va rugam folositi alt cod"
"Total Qty Content Items","Cantitate totala itemi"
"Upload new product image ","Incarcati o noua imagine pentru produs "
"Website Item Must be checked","Itemul de website trebuie bifat"
"Website Store Must be checked","Itemul de store trebuie bifat"
